energies_json,params_json
-1.1233539084604884,"[0.00042900170031273373, -0.0003559899003610606, 0.0411194131760652]"
-1.1234674101918323,"[0.0003779816271059949, -0.000258689469912831, 0.042060218372888196]"
-1.1235432380157508,"[0.000288619629583362, -0.00020140530806374434, 0.04299880176818838]"
-1.1237121035018074,"[0.00021783026574831796, -0.0001276625705371766, 0.0439352470919157]"
-1.1239253481488531,"[0.00017078559653958643, -0.00017936526572739366, 0.044869408224352654]"
-1.1240773060949125,"[0.00016398967739328574, -0.00015149899360258212, 0.04580099408495839]"
-1.1241140878772664,"[8.302104743280905e-06, -0.0001311028770071118, 0.04673003823490925]"
-1.1243885034892989,"[-0.00012025424103673514, -0.00014697595138596958, 0.04765667687374718]"
-1.1244257394079806,"[-0.00018535550559850529, -0.00021000549333367435, 0.04858076911107411]"
-1.1246028395775638,"[-0.00020714240949425318, -0.00027245849659027774, 0.04950234688015922]"
-1.1246685638780738,"[-0.0002424467612086835, -0.00024580931438103904, 0.05042158868792236]"
-1.1248104522927218,"[-0.00015969687292422257, -0.0002214528048460973, 0.05133835298865888]"
-1.1249337378629989,"[-5.945519417103851e-05, -3.3431292942457156e-05, 0.052252726284329025]"
-1.1251186489927512,"[5.2535152899239396e-05, 0.00020218023111160044, 0.05316477672382562]"
-1.1252197316099204,"[0.00012205968793600602, 0.00020392870845172275, 0.054074522603329365]"
-1.1253476585456914,"[0.00017872906412459263, 0.00016982355646412097, 0.05498163431111471]"
-1.1254796410090302,"[9.55109609494741e-05, 0.00020152576220403506, 0.05588625449935201]"
-1.1255225672093683,"[-9.157155621094497e-05, 0.00016065176786902568, 0.05678822550840605]"
-1.125659470584028,"[-0.00028078471683157816, 0.00014094120350099403, 0.05768782689258263]"
-1.1258191060940432,"[-0.00043400600926458597, 0.00013570484641004576, 0.0585848295545195]"
-1.1259178302308985,"[-0.000500832999248062, 0.00012919596015088694, 0.0594794170457379]"
-1.1260269554189066,"[-0.0005161239190038213, 0.00010062465613576188, 0.06037142467730986]"
-1.1261888186278657,"[-0.0003033448485306152, 0.00013230747377595347, 0.06126098835362025]"
-1.1263604145738066,"[4.103781979812067e-05, 0.0001513223244565701, 0.062147979189813]"
-1.1263831370312247,"[0.0003377924110434574, 0.00016684405849129078, 0.06303246344772764]"
-1.1265020382123463,"[0.000509180194427461, 7.793970713381011e-05, 0.0639140870869507]"
-1.1266632469160518,"[0.0005544107402545359, 6.22706531710928e-05, 0.06479288532425603]"
-1.1267677903275277,"[0.00045671702960593157, -4.2967566011643056e-05, 0.06566903085027997]"
-1.1268843537633673,"[0.0001956934503470904, -0.00016204677046495526, 0.06654268688527493]"
-1.1269524946654033,"[-4.717137981964187e-05, -0.00026111444222096255, 0.06741374701945359]"
-1.1270752399509334,"[-0.0001789132108970788, -0.00034284842394703523, 0.0682820729644916]"
-1.1272007750534914,"[-0.00023797665833268664, -0.00032073103503789965, 0.06914778083070966]"
-1.127411668835269,"[-0.0002993112795815114, -0.00014448401767019862, 0.07001085841626337]"
-1.127545531653099,"[-0.00032948173357139814, 0.00014285468672389022, 0.0708713198118639]"
-1.1275201779593191,"[-0.0002893146919801036, 0.0003977259992928125, 0.0717292401351858]"
-1.1276230130385354,"[-0.0003339661953197419, 0.0005201281075042692, 0.07258465549893613]"
-1.1277552318364497,"[-0.00034272075160034584, 0.0005279090120633562, 0.07343736810790294]"
-1.1278834052895894,"[-0.00036605538972615874, 0.0005807853713743181, 0.07428764382837828]"
-1.1278829779878488,"[-0.00037173785713148213, 0.00045121496077349827, 0.0751350725536766]"
-1.1280262717946974,"[-0.00028477112218319863, 0.0003007020081591268, 0.07598025615554471]"
-1.128222054809774,"[-0.0002423683661493504, 0.00013681380256037778, 0.07682276133575726]"
-1.1281910592287014,"[-0.000117455490067626, -9.93455269476218e-06, 0.07766253924180619]"
-1.1283333069156911,"[8.057463988542818e-05, -0.0002844773022627594, 0.07849982644646855]"
-1.1285003529209379,"[0.00039645998251370293, -0.0005047871195396398, 0.07933454088909717]"
-1.128549437621092,"[0.0005789932310179245, -0.0006212252142984752, 0.08016653268386989]"
-1.1286154505041752,"[0.0007231887802291499, -0.0006205007747063713, 0.08099588714801681]"
-1.1287718518298269,"[0.000748082966567699, -0.0006253313067743717, 0.08182279272828044]"
-1.128986083971832,"[0.0006155702123285793, -0.0005456877770653841, 0.08264716245039921]"
-1.129026456872225,"[0.0005191687550504279, -0.00036906081302998095, 0.08346898561969644]"
-1.1290434934972853,"[0.00023102505176012949, -0.00028938359621526535, 0.0842880441944475]"
-1.1291405565508437,"[-2.4482004025276085e-05, -0.0001280661964385882, 0.0851044699581222]"
-1.1293009645508936,"[-0.00014840032066296507, -4.210834794730157e-05, 0.08591825384890447]"
-1.1292556026671152,"[-0.0003603981291749285, 0.0001048134247419148, 0.08672937088557896]"
-1.129418888974016,"[-0.0004990869712531859, 0.0002759761348992398, 0.08753776849728163]"
-1.1294892672075294,"[-0.0005278420372565686, 0.0005800870372677288, 0.08834345042479144]"
-1.1295831710788098,"[-0.0005274913952430265, 0.0006984878837125702, 0.0891465928698026]"
-1.1296813898387132,"[-0.0006227761391268884, 0.0007338335744082625, 0.08994688991054803]"
-1.129835676037363,"[-0.0007062231110717076, 0.0006506587560085588, 0.09074413452387393]"
-1.1299824540317038,"[-0.0006859085822454417, 0.0004777804569016272, 0.09153868667626892]"
-1.1299152414949951,"[-0.0005205712530636853, 0.00041232238271784446, 0.09233073176616854]"
-1.1300913663265872,"[-0.0003295746473007536, 0.00037834213305624884, 0.0931199554451861]"
-1.1301306700323768,"[-0.00016854664406226242, 0.00030782854371893945, 0.09390631894219878]"
-1.1301529261066139,"[-9.452962268177871e-05, 0.00021318589320494535, 0.0946898259654941]"
-1.1303236584133742,"[-9.634605584843791e-05, 0.00011172913049340291, 0.09547069370083709]"
-1.1303916447720543,"[-6.697096637529717e-05, -7.433709531374598e-05, 0.0962490007885728]"
-1.1304045897208672,"[-5.115700630685783e-05, -0.00012721145794379078, 0.09702456730336168]"
-1.130519530880767,"[-6.485861607692691e-05, -0.00018005666282284774, 0.09779767217719199]"
-1.1306539511388238,"[2.215229242876137e-05, -0.00022637622666583929, 0.0985677596166141]"
-1.1306740478624808,"[2.7622377494411792e-05, -0.00027193903479524244, 0.09933507785726933]"
-1.1308311297047988,"[0.00022808099637028847, -0.0003784036742600228, 0.10009986886590862]"
-1.130882464949561,"[0.0004025424915957677, -0.0004857717938568676, 0.10086183068493774]"
-1.130973496705646,"[0.0005319431927338692, -0.0006114358202088162, 0.10162115115138667]"
-1.1311321444455715,"[0.0004683291521199183, -0.000568011620657128, 0.10237755892674799]"
-1.131107314796332,"[0.0003345221754431568, -0.0005020692625695026, 0.10313115387810105]"
-1.1310694644195909,"[0.0001479710003594656, -0.00031703461135249847, 0.10388201647601014]"
-1.131235492976115,"[-0.00011690679231747092, -0.00018877755731408507, 0.1046301838762443]"
-1.131358540790117,"[-0.0002406791872420999, 3.7390818017559878e-06, 0.1053757375250774]"
-1.1314633743905886,"[-0.00024380302791998513, 9.060554484051568e-05, 0.10611828528218015]"
-1.1314439846065978,"[-0.00029343546611585336, 8.214695212897295e-05, 0.10685816001688614]"
-1.131584018998179,"[-0.000325575348588904, 7.629032487313003e-05, 0.10759503086449713]"
-1.131621430837607,"[-0.00039120226767480235, -2.732769812727328e-05, 0.10832899748104619]"
-1.1316378634591482,"[-0.0003614505171979825, -6.981759051088806e-05, 0.10906018441037502]"
-1.1317764892506375,"[-7.046088825589597e-06, -7.742828402539286e-05, 0.10978846680384603]"
-1.131807469235555,"[0.00029668933624516695, -9.134951200856056e-05, 0.11051407505773696]"
-1.1318413754164307,"[0.0005219855790942906, 1.5518537617928823e-05, 0.11123688854980085]"
-1.1318861431644254,"[0.0006079752753712074, 6.643635985262103e-05, 0.11195693378936607]"
-1.132023726596422,"[0.000562219271463934, 9.289738255552066e-05, 0.11267436634669903]"
-1.132115121202707,"[0.00042241762708899197, 5.5072985790720555e-05, 0.11338883385729367]"
-1.132140930685932,"[0.00020782466767756944, -6.407159935874108e-05, 0.11410058443406564]"
-1.1321428167739174,"[-6.7551251969111595e-06, 3.989636790461255e-06, 0.11480927623406081]"
-1.132233983991443,"[-0.0002407474370735896, 5.077003528732373e-05, 0.11551526751673263]"
-1.132201867244591,"[-0.00045859981916384024, 8.958790124608931e-05, 0.11621831572748573]"
-1.132404511937615,"[-0.0006161342655063878, 0.00022540972004906598, 0.1169188064534327]"
-1.1325164566689025,"[-0.0006559206230918996, 0.0004473649320593209, 0.11761658407032673]"
-1.1325596573239316,"[-0.0005874864338509653, 0.0005056059574129473, 0.11831166313078376]"
-1.1326425055888492,"[-0.0005058837274721617, 0.0003931468102645873, 0.1190041120903746]"
-1.1326822943981028,"[-0.0003432758195949407, 0.0003149291004342083, 0.11969384419258344]"
-1.1327264943350925,"[-7.571966372472397e-05, 8.896713847893014e-05, 0.12038092902047243]"
-1.1326298618883401,"[0.00029329861128544343, -0.00015557181109829746, 0.12106495646616162]"
-1.1328565231425916,"[0.0005056353659189358, -0.0003575266745432362, 0.12174635288537972]"
-1.1328765855081901,"[0.0006299672940081268, -0.0005571861660097049, 0.1224248279577704]"
-1.1329562123875483,"[0.0006784435880162583, -0.0005328960540029767, 0.12310071387849018]"
-1.1329425932069923,"[0.0005589999307533234, -0.0005132377035412808, 0.1237733494467494]"
-1.1330784822526276,"[0.00033174549252312357, -0.00039572497558159914, 0.12444313993898155]"
-1.1330855584312909,"[5.499561269913948e-05, -0.00014696236187034775, 0.1251103180451239]"
-1.1331013572831328,"[-0.0001604828272745368, 0.00019467112681780186, 0.1257746620672684]"
-1.1331522979800055,"[-0.0003829151597654525, 0.00037605717665796555, 0.126436492379657]"
-1.13323932994228,"[-0.0005177189123642067, 0.0005415761021234876, 0.12709578467829744]"
-1.133383533901121,"[-0.0005926835939544229, 0.0005498998934364292, 0.12775234722547155]"
-1.1333568071534976,"[-0.000491717132310687, 0.0005234777293136054, 0.12840611993700926]"
-1.1334038681054,"[-0.000334709771818013, 0.0004466686097397253, 0.1290570732261793]"
-1.1335172999285312,"[-0.0002066811307717827, 0.00028406817870585074, 0.12970534020902091]"
-1.1334815973400205,"[-8.271434100767734e-05, 0.00013881396845965934, 0.13035087544266286]"
-1.1336689516773295,"[-3.579701229754517e-05, 8.074452303928452e-05, 0.13099356144922755]"
-1.133663497455118,"[-0.00012471275331674833, -2.4084813531924127e-05, 0.13163337306820716]"
-1.133672198248387,"[-0.00025699505991533153, -9.510132127927546e-05, 0.1322702016089389]"
-1.1337551869299467,"[-0.00018932470671766962, -0.00015054291019467092, 0.132904303118871]"
-1.1337497770660794,"[-0.00015806701112974994, -0.00017939346384625282, 0.13353568269342964]"
-1.133730934860703,"[-0.00015386786265957317, -0.0001537870805939065, 0.13416437383010948]"
-1.133848266016098,"[5.628754169455122e-05, -0.0001327746008619776, 0.13478997362446782]"
-1.1338253436025096,"[0.0004293273515877849, -1.3140844053031555e-05, 0.13541279983513876]"
-1.1338750300113514,"[0.0007139150549577818, 4.54590633144738e-05, 0.13603310267437213]"
-1.1339114017400687,"[0.000844214515423547, -1.6943008137081893e-05, 0.13665063317233983]"
-1.1340560722673358,"[0.0008077220530714512, -0.0001189142973647422, 0.13726562616148333]"
-1.1341705521790248,"[0.0005001084409011326, -0.0002856950199502226, 0.1378778356794935]"
-1.134122113454971,"[0.00012905075183091173, -0.0004834936225845442, 0.13848732381928897]"
-1.13418179581653,"[-0.00024252998123510956, -0.0006792994173195104, 0.13909388070175088]"
-1.1341263469702059,"[-0.0004440185830844665, -0.0006996334052174324, 0.13969764152249697]"
-1.1342043844617178,"[-0.0004500690971582713, -0.00048143529718936047, 0.14029882865913915]"
-1.1342557969129896,"[-0.00024177121167252028, -6.277376288569701e-05, 0.14089723243311514]"
-1.1343441095851265,"[7.722980242564297e-05, 0.0003719601703207904, 0.14149288333368287]"
-1.134341201278585,"[0.00033305728912420905, 0.0006443205387944868, 0.1420858329883647]"
-1.134388055253888,"[0.00047536113592398305, 0.0007233674518652696, 0.14267555460304865]"
-1.1343523162881413,"[0.0004639721072144008, 0.0006803532091849375, 0.14326205697257532]"
-1.134490423350876,"[0.00028118971219421804, 0.0005038214970185359, 0.14384545283426642]"
-1.134471479401448,"[-2.6034919134231157e-05, 0.00024746492071608906, 0.14442613466242438]"
-1.13462564972595,"[-0.0003384603903342314, -5.887307333606636e-05, 0.14500413963378123]"
-1.1345740005318983,"[-0.0005775954111854793, -0.00029956259328315184, 0.1455793213689775]"
-1.1347421996296938,"[-0.0006440841902897322, -0.0003934271110095891, 0.14615164829506627]"
-1.1346671361771976,"[-0.0005597371850155347, -0.00027778353858067765, 0.14672115939256875]"
-1.134606656785325,"[-0.00033205413977942515, 7.05298907726657e-05, 0.14728770936004365]"
-1.134893775504966,"[-5.1854096782971443e-05, 0.00033598227412942903, 0.1478514206667704]"
-1.134860222863059,"[0.00018826491222399458, 0.0005539029031922777, 0.14841225309917258]"
-1.1348137233907873,"[0.00024624396286516444, 0.0006887282812262679, 0.14897031754232015]"
-1.1348216171057153,"[0.00018535511570461066, 0.0007065442089896439, 0.14952583158874214]"
-1.134873071892892,"[1.540240285898925e-05, 0.0005803221866876643, 0.15007905814319183]"
-1.1349955458900023,"[-0.00021835762373489048, 0.00033456339379742383, 0.15062987159836044]"
-1.1351161598083248,"[-0.00040380325186529077, -2.561525898883818e-05, 0.15117806948554458]"
-1.1348665730219551,"[-0.0005793891228476568, -0.0003027536632429695, 0.15172384360802912]"
-1.1350244701971606,"[-0.0005702024833674368, -0.0003601084208102066, 0.1522666796939276]"
-1.1350607697250488,"[-0.0003549742082588847, -0.00023062197886214423, 0.15280676820448072]"
-1.135030329152915,"[-0.0001129890023275099, -4.293241548166825e-06, 0.15334433631795397]"
-1.1350915544321747,"[-3.3271796466924233e-06, 0.00023785164890685915, 0.15387920403224634]"
-1.1351048344785877,"[5.079373813899054e-05, 0.0004293625480960375, 0.15441150239541818]"
-1.135096079373906,"[0.00010913782980238355, 0.0003993961026680616, 0.15494111371083977]"
-1.1352398530039312,"[0.00011884737845021917, 0.00026653590243999825, 0.15546805401662722]"
-1.1352020718925202,"[6.230292923325697e-05, 0.00022108075935391356, 0.1559926207514868]"
-1.1353288623863673,"[-9.019486168638523e-05, 0.00015003020593386588, 0.1565146254659369]"
-1.135340145425325,"[-0.0002278755082936538, 8.161941633832642e-05, 0.15703412415236023]"
-1.1353114541967078,"[-0.0002776369034426815, 4.156540654954548e-05, 0.1575508675623715]"
-1.135402939997021,"[-0.00025229828830313975, 2.837232786393089e-05, 0.15806488152228415]"
-1.1354034767960082,"[-0.00011649927343214856, 4.331996124362308e-05, 0.15857645246982374]"
-1.1354397956804174,"[-4.714050864659945e-05, 2.8132578226758057e-05, 0.15908553736921158]"
-1.1354805727612332,"[-6.452880594148114e-05, 7.33267629900763e-05, 0.15959232391843536]"
-1.1355958012195102,"[-0.00012680395109748466, 0.0001769321820103464, 0.1600959691524189]"
-1.135513378466357,"[-0.00012777406226807157, 0.000202417241484208, 0.16059668655301798]"
-1.1355856146685492,"[-0.00016814986195275869, 0.00016743832803949293, 0.16109478963144896]"
-1.1354516890072937,"[-0.0002508207053619283, 0.00016504208531253062, 0.16159032232763185]"
-1.1356758888895637,"[-0.0002726401928639783, 0.0002337139094878878, 0.16208317000962463]"
-1.1356386331084587,"[-0.00019479637746570817, 0.0004366872423561123, 0.1625738857345959]"
-1.1357311762210134,"[-9.289767990883324e-05, 0.0004781601487371031, 0.16306184038602275]"
-1.1356095715987933,"[-5.069692992705274e-05, 0.00047617228743338386, 0.163546849806025]"
-1.1357610743068367,"[1.3409845867934134e-05, 0.0002972729249743779, 0.16402899002773264]"
-1.135893510998603,"[-1.1823938013600311e-05, 4.553321053487756e-05, 0.1645086868804611]"
-1.1357511119800558,"[-6.0926213771343217e-05, -0.00029829228316394967, 0.1649855913114651]"
-1.1356841787606162,"[0.00011737514928602536, -0.0005364429811663171, 0.1654595781544146]"
-1.1358109668204368,"[0.0002589724293480585, -0.0006959510953414298, 0.16593085885690587]"
-1.1357998723190466,"[0.00027199335088217113, -0.0008414185944316487, 0.16639978963110916]"
-1.135665213113263,"[0.00041464985074800314, -0.0006794977218455604, 0.16686596678868892]"
-1.1357823161454397,"[0.0005052282371959809, -0.00040016556815905595, 0.16732972905574758]"
-1.1360561698202045,"[0.0005411041591767898, -0.00010548260620813057, 0.1677905792055924]"
-1.1360557031613703,"[0.0004336186171690893, 0.00019047627293917904, 0.16824889066220786]"
-1.1358728781690417,"[0.00020200372330784924, 0.00040322301719875693, 0.1687047342454575]"
-1.1358547411132331,"[-0.00014868518856697775, 0.0005476249318221406, 0.16915786485149484]"
-1.1360160571108082,"[-0.0004922525361778956, 0.0004766487795134463, 0.1696085627508329]"
-1.1359784110941322,"[-0.000726930707223304, 0.00038096947590335784, 0.17005644326147162]"
-1.1358434682138798,"[-0.0008310998846124215, 0.00025879468418799377, 0.17050200835911694]"
-1.135978280219093,"[-0.0008400042808371718, 0.00028772255326196957, 0.1709447349549517]"
-1.135901391048605,"[-0.0006395238476955185, 0.00024669214166592055, 0.17138462460404724]"
-1.1361140426126453,"[-0.00031623843057206644, 0.0003399800812714523, 0.17182200742062087]"
-1.1359932121772898,"[-2.9921375029262555e-06, 0.0003155626012798582, 0.1722571183257003]"
-1.1361249084422482,"[0.0002767401002117155, 0.0002792872838044546, 0.17268978483406985]"
-1.1359622476527151,"[0.00048194478957045925, 0.0001503291306138989, 0.1731200963774525]"
-1.1360956142224397,"[0.0005080000271141638, 5.477262271659817e-05, 0.17354797905427183]"
-1.1361116228016581,"[0.00033528656611767494, -0.0001073469583536784, 0.17397336269973632]"
-1.1362135200666896,"[6.134245147282368e-05, -0.0002164038015735577, 0.17439635936348216]"
-1.136216796041128,"[-0.0001358523248374293, -0.00025082807828557874, 0.1748168525221479]"
-1.1361831102303968,"[-0.00027924916365311804, -0.00040517992837054415, 0.17523466274148886]"
-1.1362860414122686,"[-0.00019192666291185494, -0.000377696849144323, 0.1756502828877292]"
-1.1361109876086892,"[-2.5457500580585904e-05, -0.00030396000618755696, 0.17606358954900483]"
-1.1362865903216512,"[0.0002960782813614147, -0.00024208204319914458, 0.17647451393145427]"
-1.1362740806563316,"[0.00046962919835365186, -0.00015603757663230103, 0.17688278496954202]"
-1.1363407797445728,"[0.0005517744848971846, -0.00011162799147495451, 0.1772887615958662]"
-1.1363383244721472,"[0.0005072039010957485, -8.114040963560965e-05, 0.17769260205870743]"
-1.1362888259579904,"[0.0002976970389711224, -0.00015007808511246509, 0.17809398141663565]"
-1.136316423499466,"[-3.550462464539157e-05, -9.904914107718512e-05, 0.1784927851590119]"
-1.1363289986253913,"[-0.00030456970409023683, 2.1119882460720138e-05, 0.17888904642095663]"
-1.1362363534931323,"[-0.0005019286451591058, 0.00025558619279319073, 0.1792832166208548]"
-1.1363347836801025,"[-0.000627186535383935, 0.0005012663756815262, 0.1796745708208145]"
