energies_json,params_json
-1.1371135205135243,"[-0.01795051130343314, -0.00766997843822017, 0.21857218391366823]"
-1.1372151775935135,"[-0.01795050619950155, -0.007669568551547038, 0.218573377563312]"
-1.1371271460288377,"[-0.017951036589938005, -0.007670124775564569, 0.21857321694423584]"
-1.1372534934723055,"[-0.017950508966972804, -0.007669958460727194, 0.21857291134358003]"
-1.1370182370762105,"[-0.017950456327041293, -0.007670122159300129, 0.2185732546503447]"
-1.1370599482742745,"[-0.01795071249974905, -0.007669963965176972, 0.21857312713219307]"
-1.1370807066880968,"[-0.017950548063916695, -0.007669864356320608, 0.21857316826798553]"
-1.1370165998633321,"[-0.01795057314443811, -0.007669978981867478, 0.21857307888523816]"
-1.1373992494074043,"[-0.017950582820564564, -0.007670005041208357, 0.21857318026345302]"
-1.1372861832988521,"[-0.01795058643479374, -0.007669944188166501, 0.21857314876346828]"
-1.1371417539073077,"[-0.017950623121665635, -0.0076699725954070385, 0.21857313596608252]"
-1.1372371807455501,"[-0.01795058614613228, -0.00766997274520971, 0.2185731284266]"
-1.1369349146815606,"[-0.017950595132152847, -0.0076699663072672085, 0.21857313010121365]"
-1.1371911674728326,"[-0.017950593072027402, -0.007669974742224632, 0.21857314219455995]"
-1.1372806490787803,"[-0.017950596759193953, -0.007669972332728033, 0.2185731319184163]"
-1.1372562032793525,"[-0.017950593708299895, -0.007669959087872964, 0.21857313475900214]"
